tile1	tile2	tile3	tile4	tile5	tile6	tile7	tile8	tile9	tile10	tile11	tile12	tile13	tile14	tile15	tile16	tile17	tile18	tile19	tile20	tile21	tile22	tile23	tile24	tile25	tile26	tile27	tile28	tile29	tile30	tile31	tile32	tile33	tile34	tile35	tile36	tile37	tile38	tile39	tile40	tile41	tile42	tile43	tile44	tile45	tile46	tile47	tile48	tile49	tile50	tile51	tile52	tile53	tile54	tile55	tile56	tile57	tile58	tile59	tile60	tile61	tile62	tile63	tile64	tile65	tile66	tile67	tile68	tile69	tile70	tile71	tile72	tile73	tile74	tile75	tile76	tile77	tile78	tile79	tile80	tile81	tile82	tile83	tile84	tile85	tile86	tile87	tile88	tile89	tile90	tile91	tile92	tile93	tile94	tile95	tile96	tile97	tile98	tile99	tile100	tile101	tile102	tile103	tile104	tile105	tile106	tile107	tile108	tile109	tile110	tile111	tile112	tile113	tile114	tile115	tile116	tile117	tile118	tile119	tile120
313.14	313.95	315.23	315.11	314.52	314.05	314.29	315.08	316.15	316.67	314.74	315.06	316.14	316.50	316.12	316.12	316.35	316.92	317.52	317.78	316.33	316.17	317.04	317.90	317.73	318.18	318.41	318.77	318.89	318.90	318.00	318.04	317.99	316.92	315.95	317.80	317.87	316.87	314.92	314.02	316.56	316.63	316.57	315.89	315.33	316.57	316.68	316.18	314.96	314.35	315.12	315.22	315.16	314.86	314.72	315.33	315.49	315.49	315.01	314.68	315.04	315.97	317.16	317.58	317.75	318.76	319.17	319.97	320.23	320.11	316.62	317.55	318.77	319.25	319.44	320.13	320.34	320.71	320.78	320.67	318.21	319.13	320.38	320.93	321.13	321.51	321.50	321.46	321.33	321.24	321.06	321.40	321.86	322.01	322.05	322.45	322.40	322.04	321.19	320.65	320.97	321.34	321.95	322.26	322.34	322.41	322.23	321.72	320.39	319.41	320.89	321.28	322.04	322.52	322.63	322.36	322.06	321.39	319.59	318.16
313.14	313.95	315.23	315.10	314.51	314.05	314.29	315.07	316.14	316.67	314.74	315.06	316.13	316.50	316.12	316.12	316.35	316.92	317.52	317.79	316.33	316.17	317.04	317.90	317.74	318.19	318.42	318.77	318.90	318.91	318.00	318.05	317.99	316.92	315.94	317.81	317.87	316.87	314.92	314.01	316.56	316.63	316.57	315.89	315.33	316.57	316.68	316.18	314.96	314.35	315.12	315.22	315.15	314.86	314.72	315.33	315.49	315.49	315.00	314.68	315.03	315.97	317.16	317.58	317.75	318.76	319.17	319.97	320.23	320.11	316.62	317.55	318.77	319.25	319.44	320.13	320.34	320.71	320.78	320.68	318.21	319.13	320.39	320.93	321.13	321.51	321.50	321.46	321.33	321.24	321.06	321.40	321.86	322.01	322.04	322.45	322.40	322.04	321.19	320.65	320.97	321.34	321.95	322.26	322.34	322.41	322.23	321.72	320.39	319.41	320.89	321.28	322.04	322.52	322.63	322.36	322.06	321.39	319.59	318.16
313.14	313.95	315.23	315.10	314.51	314.05	314.29	315.07	316.14	316.67	314.74	315.06	316.13	316.50	316.12	316.12	316.35	316.92	317.52	317.79	316.33	316.17	317.04	317.91	317.74	318.19	318.42	318.78	318.91	318.91	318.01	318.05	318.00	316.92	315.94	317.81	317.87	316.87	314.91	314.01	316.56	316.63	316.57	315.89	315.33	316.57	316.68	316.18	314.96	314.34	315.12	315.21	315.15	314.86	314.72	315.33	315.49	315.49	315.00	314.67	315.03	315.97	317.15	317.57	317.74	318.76	319.17	319.97	320.24	320.11	316.62	317.55	318.77	319.25	319.44	320.13	320.34	320.71	320.78	320.68	318.21	319.13	320.39	320.93	321.14	321.51	321.50	321.46	321.33	321.24	321.06	321.40	321.86	322.01	322.04	322.45	322.40	322.04	321.20	320.65	320.97	321.34	321.95	322.26	322.34	322.41	322.23	321.72	320.39	319.40	320.89	321.28	322.04	322.52	322.63	322.36	322.06	321.39	319.59	318.15
313.14	313.95	315.23	315.10	314.50	314.04	314.28	315.07	316.14	316.66	314.74	315.06	316.13	316.51	316.12	316.12	316.35	316.92	317.53	317.79	316.34	316.17	317.04	317.91	317.75	318.20	318.42	318.78	318.91	318.92	318.01	318.06	318.00	316.92	315.93	317.82	317.88	316.87	314.91	314.00	316.56	316.63	316.57	315.89	315.33	316.57	316.68	316.18	314.95	314.34	315.12	315.21	315.15	314.86	314.72	315.33	315.49	315.49	315.00	314.67	315.03	315.97	317.15	317.57	317.74	318.75	319.17	319.97	320.24	320.12	316.62	317.55	318.77	319.25	319.44	320.13	320.34	320.71	320.79	320.68	318.21	319.13	320.39	320.94	321.14	321.51	321.50	321.46	321.33	321.24	321.06	321.40	321.85	322.00	322.04	322.45	322.40	322.04	321.20	320.66	320.97	321.34	321.95	322.26	322.34	322.41	322.23	321.72	320.39	319.40	320.89	321.28	322.04	322.52	322.63	322.36	322.06	321.39	319.58	318.15
313.13	313.95	315.23	315.10	314.50	314.04	314.28	315.06	316.14	316.66	314.74	315.06	316.13	316.51	316.13	316.12	316.35	316.92	317.53	317.80	316.34	316.16	317.04	317.92	317.75	318.20	318.43	318.78	318.92	318.93	318.02	318.06	318.01	316.92	315.92	317.82	317.88	316.87	314.90	314.00	316.57	316.63	316.58	315.89	315.32	316.57	316.68	316.18	314.95	314.33	315.11	315.21	315.15	314.85	314.72	315.32	315.48	315.48	315.00	314.67	315.03	315.96	317.15	317.57	317.73	318.75	319.17	319.97	320.24	320.12	316.62	317.55	318.77	319.25	319.44	320.13	320.34	320.71	320.79	320.68	318.22	319.14	320.40	320.94	321.14	321.52	321.51	321.46	321.33	321.25	321.06	321.40	321.85	322.00	322.04	322.46	322.40	322.04	321.20	320.66	320.97	321.34	321.95	322.26	322.33	322.41	322.23	321.72	320.39	319.40	320.89	321.28	322.04	322.52	322.63	322.36	322.06	321.39	319.58	318.15
313.13	313.95	315.23	315.10	314.50	314.04	314.28	315.06	316.13	316.66	314.74	315.06	316.13	316.51	316.13	316.12	316.35	316.93	317.53	317.80	316.34	316.16	317.03	317.92	317.76	318.20	318.43	318.79	318.93	318.94	318.02	318.06	318.01	316.91	315.92	317.82	317.88	316.87	314.90	313.99	316.57	316.64	316.58	315.88	315.32	316.57	316.68	316.18	314.95	314.33	315.11	315.21	315.14	314.85	314.72	315.32	315.48	315.48	314.99	314.67	315.02	315.96	317.15	317.56	317.73	318.75	319.17	319.98	320.25	320.12	316.62	317.55	318.77	319.25	319.44	320.14	320.34	320.72	320.79	320.68	318.22	319.14	320.40	320.94	321.15	321.52	321.51	321.46	321.33	321.25	321.06	321.40	321.85	322.00	322.03	322.46	322.40	322.05	321.20	320.66	320.97	321.34	321.95	322.26	322.33	322.41	322.23	321.72	320.39	319.40	320.88	321.28	322.04	322.52	322.63	322.36	322.06	321.39	319.58	318.14
313.13	313.95	315.23	315.10	314.49	314.04	314.27	315.06	316.13	316.66	314.74	315.06	316.13	316.51	316.13	316.12	316.35	316.93	317.53	317.80	316.34	316.16	317.03	317.92	317.76	318.21	318.43	318.79	318.93	318.94	318.02	318.07	318.02	316.91	315.91	317.83	317.89	316.87	314.89	313.99	316.57	316.64	316.58	315.88	315.32	316.57	316.68	316.18	314.94	314.33	315.11	315.20	315.14	314.85	314.72	315.32	315.48	315.48	314.99	314.67	315.02	315.96	317.15	317.56	317.73	318.75	319.17	319.98	320.25	320.12	316.62	317.55	318.77	319.25	319.44	320.14	320.34	320.72	320.79	320.69	318.22	319.14	320.40	320.95	321.15	321.52	321.51	321.45	321.33	321.25	321.06	321.40	321.85	322.00	322.03	322.46	322.40	322.05	321.20	320.66	320.97	321.34	321.95	322.26	322.33	322.41	322.23	321.72	320.39	319.40	320.88	321.28	322.04	322.52	322.63	322.36	322.06	321.39	319.58	318.14
313.13	313.95	315.23	315.09	314.49	314.03	314.27	315.06	316.13	316.66	314.74	315.05	316.13	316.51	316.13	316.12	316.35	316.93	317.53	317.80	316.35	316.16	317.03	317.93	317.77	318.21	318.44	318.80	318.94	318.95	318.03	318.07	318.02	316.91	315.91	317.83	317.89	316.87	314.89	313.98	316.57	316.64	316.58	315.88	315.31	316.57	316.68	316.17	314.94	314.32	315.11	315.20	315.14	314.85	314.72	315.32	315.48	315.47	314.99	314.67	315.02	315.96	317.14	317.56	317.72	318.75	319.17	319.98	320.25	320.13	316.62	317.55	318.78	319.25	319.44	320.14	320.34	320.72	320.79	320.69	318.22	319.15	320.41	320.95	321.15	321.52	321.51	321.45	321.33	321.25	321.06	321.40	321.85	322.00	322.03	322.46	322.41	322.05	321.20	320.66	320.97	321.34	321.95	322.26	322.33	322.41	322.23	321.72	320.39	319.40	320.88	321.28	322.04	322.52	322.63	322.36	322.06	321.39	319.58	318.14
313.13	313.95	315.23	315.09	314.48	314.03	314.27	315.05	316.13	316.65	314.74	315.05	316.13	316.51	316.13	316.12	316.36	316.93	317.54	317.81	316.35	316.16	317.03	317.93	317.77	318.21	318.44	318.80	318.95	318.96	318.03	318.08	318.02	316.91	315.90	317.83	317.89	316.87	314.89	313.98	316.57	316.64	316.58	315.88	315.31	316.58	316.68	316.17	314.94	314.32	315.10	315.20	315.14	314.85	314.72	315.32	315.47	315.47	314.99	314.66	315.02	315.96	317.14	317.55	317.72	318.75	319.17	319.98	320.25	320.13	316.62	317.55	318.78	319.25	319.44	320.14	320.34	320.72	320.79	320.69	318.23	319.15	320.41	320.95	321.16	321.52	321.51	321.45	321.33	321.25	321.06	321.40	321.85	321.99	322.03	322.46	322.41	322.05	321.20	320.66	320.97	321.34	321.95	322.26	322.33	322.41	322.24	321.72	320.39	319.40	320.88	321.28	322.04	322.52	322.63	322.36	322.06	321.39	319.58	318.13
313.12	313.95	315.23	315.09	314.48	314.03	314.27	315.05	316.12	316.65	314.74	315.05	316.13	316.51	316.13	316.12	316.36	316.93	317.54	317.81	316.35	316.16	317.03	317.94	317.78	318.22	318.44	318.81	318.95	318.96	318.04	318.08	318.03	316.91	315.89	317.84	317.90	316.87	314.88	313.97	316.57	316.64	316.58	315.88	315.31	316.58	316.68	316.17	314.93	314.32	315.10	315.20	315.14	314.85	314.72	315.32	315.47	315.47	314.98	314.66	315.02	315.96	317.14	317.55	317.71	318.75	319.17	319.98	320.26	320.13	316.62	317.55	318.78	319.25	319.44	320.14	320.34	320.72	320.79	320.69	318.23	319.15	320.41	320.95	321.16	321.52	321.51	321.45	321.33	321.25	321.06	321.40	321.85	321.99	322.02	322.46	322.41	322.05	321.20	320.66	320.97	321.34	321.95	322.26	322.33	322.41	322.24	321.72	320.39	319.40	320.88	321.28	322.04	322.52	322.63	322.36	322.06	321.40	319.58	318.13
