tile1	tile2	tile3	tile4	tile5	tile6	tile7	tile8	tile9	tile10	tile11	tile12	tile13	tile14	tile15	tile16	tile17	tile18	tile19	tile20	tile21	tile22	tile23	tile24	tile25	tile26	tile27	tile28	tile29	tile30	tile31	tile32	tile33	tile34	tile35	tile36	tile37	tile38	tile39	tile40	tile41	tile42	tile43	tile44	tile45	tile46	tile47	tile48	tile49	tile50	tile51	tile52	tile53	tile54	tile55	tile56	tile57	tile58	tile59	tile60	tile61	tile62	tile63	tile64	tile65	tile66	tile67	tile68	tile69	tile70	tile71	tile72	tile73	tile74	tile75	tile76	tile77	tile78	tile79	tile80	tile81	tile82	tile83	tile84	tile85	tile86	tile87	tile88	tile89	tile90	tile91	tile92	tile93	tile94	tile95	tile96	tile97	tile98	tile99	tile100	tile101	tile102	tile103	tile104	tile105	tile106	tile107	tile108	tile109	tile110	tile111	tile112	tile113	tile114	tile115	tile116	tile117	tile118	tile119	tile120
312.05	312.66	313.65	313.54	313.06	312.77	313.01	313.75	314.70	315.15	313.44	313.67	314.50	314.80	314.49	314.49	314.73	315.32	315.91	316.17	314.84	314.67	315.35	316.06	315.92	316.21	316.45	316.88	317.12	317.18	316.62	316.54	316.33	315.40	314.60	316.06	316.12	315.40	313.92	313.23	315.54	315.53	315.37	314.76	314.31	315.31	315.43	315.10	314.19	313.71	314.46	314.52	314.41	314.13	314.01	314.56	314.73	314.81	314.46	314.20	314.66	315.59	316.76	317.17	317.34	318.35	318.77	319.58	319.87	319.77	316.28	317.20	318.40	318.88	319.07	319.76	319.97	320.36	320.45	320.35	317.89	318.81	320.05	320.59	320.79	321.17	321.17	321.13	321.02	320.94	320.79	321.12	321.57	321.72	321.75	322.16	322.11	321.76	320.92	320.38	320.71	321.07	321.67	321.98	322.05	322.12	321.95	321.44	320.12	319.14	320.63	321.02	321.77	322.24	322.35	322.08	321.79	321.12	319.32	317.90
312.05	312.66	313.65	313.54	313.05	312.76	313.01	313.75	314.69	315.15	313.44	313.66	314.50	314.80	314.49	314.49	314.73	315.32	315.91	316.17	314.84	314.67	315.35	316.06	315.92	316.21	316.46	316.89	317.13	317.19	316.62	316.54	316.33	315.40	314.59	316.06	316.13	315.40	313.91	313.22	315.54	315.53	315.37	314.76	314.30	315.31	315.43	315.10	314.18	313.71	314.46	314.52	314.41	314.13	314.01	314.56	314.73	314.81	314.46	314.20	314.66	315.59	316.76	317.17	317.34	318.35	318.77	319.58	319.88	319.77	316.28	317.20	318.40	318.88	319.07	319.76	319.97	320.36	320.45	320.36	317.90	318.81	320.05	320.59	320.79	321.17	321.17	321.13	321.02	320.94	320.79	321.12	321.57	321.72	321.75	322.16	322.11	321.76	320.92	320.38	320.71	321.07	321.67	321.98	322.05	322.12	321.95	321.44	320.12	319.14	320.63	321.02	321.77	322.24	322.35	322.08	321.79	321.12	319.32	317.90
312.05	312.66	313.65	313.54	313.05	312.76	313.01	313.75	314.69	315.15	313.44	313.66	314.50	314.80	314.49	314.49	314.73	315.32	315.91	316.17	314.84	314.67	315.35	316.07	315.93	316.22	316.46	316.89	317.14	317.19	316.62	316.54	316.33	315.39	314.59	316.06	316.13	315.40	313.91	313.22	315.54	315.53	315.37	314.76	314.30	315.31	315.43	315.10	314.18	313.70	314.46	314.51	314.41	314.13	314.02	314.56	314.73	314.81	314.46	314.19	314.66	315.58	316.75	317.16	317.33	318.35	318.76	319.59	319.88	319.77	316.28	317.20	318.40	318.88	319.06	319.76	319.97	320.36	320.45	320.36	317.90	318.81	320.06	320.59	320.80	321.17	321.17	321.13	321.02	320.94	320.79	321.12	321.57	321.71	321.75	322.16	322.11	321.76	320.92	320.38	320.71	321.07	321.67	321.98	322.05	322.12	321.95	321.44	320.12	319.14	320.63	321.02	321.77	322.24	322.35	322.08	321.79	321.12	319.32	317.89
312.04	312.66	313.65	313.54	313.05	312.76	313.01	313.74	314.69	315.15	313.44	313.66	314.50	314.80	314.49	314.49	314.73	315.32	315.92	316.17	314.85	314.67	315.35	316.07	315.93	316.22	316.46	316.89	317.14	317.20	316.63	316.55	316.34	315.39	314.58	316.07	316.13	315.40	313.90	313.21	315.54	315.53	315.37	314.76	314.30	315.31	315.43	315.10	314.18	313.70	314.45	314.51	314.40	314.13	314.02	314.56	314.72	314.80	314.45	314.19	314.65	315.58	316.75	317.16	317.33	318.35	318.76	319.59	319.88	319.77	316.28	317.20	318.41	318.88	319.06	319.76	319.97	320.36	320.45	320.36	317.90	318.81	320.06	320.60	320.80	321.18	321.17	321.13	321.02	320.95	320.79	321.12	321.57	321.71	321.74	322.16	322.11	321.76	320.92	320.38	320.71	321.07	321.67	321.98	322.05	322.12	321.95	321.44	320.12	319.14	320.62	321.02	321.77	322.24	322.35	322.08	321.79	321.12	319.32	317.89
312.04	312.66	313.65	313.54	313.04	312.76	313.01	313.74	314.69	315.15	313.44	313.66	314.50	314.81	314.49	314.49	314.73	315.32	315.92	316.18	314.85	314.67	315.35	316.08	315.94	316.22	316.46	316.90	317.15	317.21	316.63	316.55	316.34	315.39	314.57	316.07	316.13	315.39	313.90	313.21	315.54	315.53	315.37	314.76	314.30	315.31	315.43	315.10	314.18	313.70	314.45	314.51	314.40	314.13	314.02	314.55	314.72	314.80	314.45	314.19	314.65	315.58	316.75	317.16	317.32	318.35	318.76	319.59	319.89	319.78	316.28	317.20	318.41	318.88	319.06	319.76	319.97	320.36	320.45	320.36	317.90	318.82	320.06	320.60	320.80	321.18	321.17	321.13	321.02	320.95	320.79	321.12	321.57	321.71	321.74	322.16	322.11	321.76	320.92	320.38	320.71	321.07	321.67	321.98	322.05	322.12	321.95	321.44	320.12	319.13	320.62	321.02	321.77	322.24	322.36	322.08	321.79	321.12	319.32	317.89
312.04	312.66	313.65	313.53	313.04	312.75	313.00	313.74	314.69	315.14	313.45	313.66	314.50	314.81	314.49	314.49	314.74	315.32	315.92	316.18	314.85	314.67	315.35	316.08	315.94	316.22	316.47	316.90	317.15	317.21	316.63	316.55	316.34	315.39	314.57	316.07	316.13	315.39	313.90	313.20	315.54	315.53	315.37	314.76	314.29	315.31	315.43	315.10	314.17	313.69	314.45	314.51	314.40	314.13	314.02	314.55	314.72	314.80	314.45	314.19	314.65	315.58	316.75	317.15	317.32	318.34	318.76	319.59	319.89	319.78	316.28	317.20	318.41	318.88	319.06	319.76	319.97	320.36	320.46	320.36	317.91	318.82	320.07	320.60	320.81	321.18	321.17	321.13	321.02	320.95	320.79	321.12	321.56	321.71	321.74	322.16	322.11	321.76	320.92	320.38	320.71	321.07	321.67	321.98	322.05	322.12	321.95	321.44	320.12	319.13	320.62	321.02	321.77	322.24	322.36	322.08	321.79	321.12	319.32	317.88
312.04	312.66	313.65	313.53	313.04	312.75	313.00	313.74	314.68	315.14	313.45	313.66	314.50	314.81	314.49	314.49	314.74	315.32	315.92	316.18	314.85	314.67	315.35	316.08	315.95	316.23	316.47	316.91	317.16	317.22	316.64	316.56	316.35	315.39	314.56	316.07	316.14	315.39	313.89	313.20	315.54	315.53	315.37	314.76	314.29	315.31	315.43	315.10	314.17	313.69	314.45	314.51	314.40	314.13	314.02	314.55	314.72	314.80	314.45	314.19	314.65	315.58	316.75	317.15	317.32	318.34	318.76	319.59	319.89	319.78	316.28	317.20	318.41	318.88	319.06	319.76	319.97	320.36	320.46	320.36	317.91	318.82	320.07	320.61	320.81	321.18	321.17	321.13	321.02	320.95	320.79	321.12	321.56	321.71	321.74	322.16	322.11	321.76	320.92	320.38	320.71	321.07	321.67	321.97	322.05	322.12	321.95	321.44	320.12	319.13	320.62	321.02	321.77	322.24	322.36	322.08	321.79	321.12	319.32	317.88
312.04	312.66	313.65	313.53	313.03	312.75	313.00	313.74	314.68	315.14	313.45	313.66	314.50	314.81	314.49	314.49	314.74	315.32	315.92	316.18	314.86	314.67	315.35	316.09	315.95	316.23	316.47	316.91	317.16	317.23	316.64	316.56	316.35	315.39	314.56	316.08	316.14	315.39	313.89	313.19	315.54	315.53	315.37	314.76	314.29	315.31	315.43	315.09	314.17	313.69	314.45	314.51	314.40	314.13	314.02	314.55	314.72	314.80	314.45	314.18	314.64	315.58	316.74	317.15	317.31	318.34	318.76	319.59	319.89	319.78	316.28	317.20	318.41	318.88	319.06	319.76	319.97	320.36	320.46	320.37	317.91	318.83	320.07	320.61	320.81	321.18	321.17	321.13	321.02	320.95	320.79	321.12	321.56	321.70	321.74	322.16	322.11	321.76	320.92	320.39	320.70	321.07	321.67	321.97	322.05	322.12	321.95	321.44	320.12	319.13	320.62	321.02	321.77	322.24	322.36	322.08	321.79	321.12	319.32	317.88
312.03	312.65	313.65	313.53	313.03	312.75	313.00	313.73	314.68	315.14	313.45	313.66	314.50	314.81	314.49	314.49	314.74	315.32	315.92	316.19	314.86	314.67	315.35	316.09	315.96	316.23	316.48	316.91	317.17	317.23	316.64	316.56	316.35	315.38	314.55	316.08	316.14	315.39	313.89	313.19	315.54	315.53	315.37	314.76	314.29	315.31	315.43	315.09	314.16	313.68	314.44	314.50	314.40	314.13	314.02	314.55	314.72	314.79	314.44	314.18	314.64	315.57	316.74	317.14	317.31	318.34	318.76	319.60	319.90	319.78	316.28	317.20	318.41	318.88	319.06	319.76	319.97	320.36	320.46	320.37	317.91	318.83	320.08	320.61	320.82	321.18	321.17	321.13	321.02	320.95	320.79	321.12	321.56	321.70	321.73	322.16	322.11	321.76	320.92	320.39	320.70	321.07	321.67	321.97	322.04	322.12	321.95	321.44	320.12	319.13	320.62	321.02	321.77	322.25	322.36	322.09	321.79	321.13	319.32	317.87
312.03	312.65	313.65	313.53	313.03	312.75	312.99	313.73	314.68	315.14	313.45	313.66	314.50	314.81	314.49	314.49	314.74	315.32	315.93	316.19	314.86	314.67	315.35	316.10	315.96	316.24	316.48	316.92	317.18	317.24	316.65	316.57	316.35	315.38	314.55	316.08	316.14	315.39	313.88	313.18	315.54	315.53	315.38	314.75	314.28	315.32	315.43	315.09	314.16	313.68	314.44	314.50	314.40	314.13	314.02	314.55	314.72	314.79	314.44	314.18	314.64	315.57	316.74	317.14	317.31	318.34	318.76	319.60	319.90	319.79	316.28	317.20	318.41	318.88	319.06	319.76	319.97	320.36	320.46	320.37	317.91	318.83	320.08	320.62	320.82	321.19	321.17	321.13	321.02	320.95	320.78	321.12	321.56	321.70	321.73	322.16	322.11	321.76	320.92	320.39	320.70	321.07	321.67	321.97	322.04	322.12	321.95	321.44	320.12	319.13	320.62	321.02	321.77	322.25	322.36	322.09	321.79	321.13	319.31	317.87
